SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,6024 Rancho Bravado,Carlsbad,CA,92009,1599000,4,2.5,Carlsbad East,2645,4649,2002,3,605,115,Active,,,https://www.redfin.com/CA/Carlsbad/6024-Rancho-Bravado-92009/home/6310414,SDMLS,240002495,N,Y,33.1277046,-117.232176
MLS Listing,,Single Family Residential,532 Dew Point Ave,Carlsbad,CA,92011,1750000,4,2.5,Carlsbad South,2031,58123,2000,10,862,320,Active,,,https://www.redfin.com/CA/Carlsbad/532-Dew-Point-Ave-92011/home/3794991,SDMLS,240002005,N,Y,33.096437,-117.312065
MLS Listing,,Single Family Residential,3176 Corte Tradicion,Carlsbad,CA,92009,1799900,5,4.0,La Costa,2829,4069,2005,1,636,290,Pre On-Market,,,https://www.redfin.com/CA/Carlsbad/3176-Corte-Tradicion-92009/home/6683775,SDMLS,240002630,N,Y,33.0823098,-117.2388364
MLS Listing,,Single Family Residential,3476 Corte Sonrisa,Carlsbad,CA,92009,2495000,5,3.0,Carlsbad East,3123,18032,1997,1,799,105,Active,,,https://www.redfin.com/CA/Carlsbad/3476-Corte-Sonrisa-92009/home/4176803,SDMLS,240002615,N,Y,33.0643823,-117.2332784
MLS Listing,,Single Family Residential,6895 AMBER Ln,Carlsbad,CA,92009,3888800,5,5.5,92009 - Carlsbad,4745,11020,2005,1,820,235,Pre On-Market,,,https://www.redfin.com/CA/Carlsbad/6895-Amber-Ln-92009/home/7513667,CRMLS,NDP2400946,N,Y,33.1062125,-117.2540398
MLS Listing,,Single Family Residential,806 Caminito Azul,Carlsbad,CA,92011,989000,2,2.0,92011 - Carlsbad,1135,3030,1977,3,871,262,Active,,,https://www.redfin.com/CA/Carlsbad/806-Caminito-Azul-92011/home/3736834,CRMLS,NDP2400915,N,Y,33.111068,-117.3142938
MLS Listing,,Single Family Residential,2804 Jacaranda Ave,Carlsbad,CA,92009,1600000,4,3.0,92009 - Carlsbad,2335,8962,1987,3,685,62,Active,,,https://www.redfin.com/CA/Carlsbad/2804-Jacaranda-Ave-92009/home/4074233,CRMLS,NDP2400793,N,Y,33.0680382,-117.2511908
MLS Listing,,Single Family Residential,4464 Adams St,Carlsbad,CA,92008,2799000,3,2.0,92008 - Carlsbad,1700,23529,1950,3,1646,,Pre On-Market,,,https://www.redfin.com/CA/Carlsbad/4464-Adams-St-92008/home/3693581,CRMLS,NDP2400908,N,Y,33.1457158,-117.3271469
MLS Listing,,Single Family Residential,2703 Bressi Ranch Way,Carlsbad,CA,92009,2050000,4,3.5,92009 - Carlsbad,3019,5125,2005,3,679,320,Active,,,https://www.redfin.com/CA/Carlsbad/2703-Bressi-Ranch-Way-92009/home/7510969,CRMLS,NDP2400774,N,Y,33.1243859,-117.2536705
MLS Listing,,Single Family Residential,3328 Camino Coronado,Carlsbad,CA,92009,1700000,4,2.5,92009 - Carlsbad,2348,8165,1995,4,724,145,Active,,,https://www.redfin.com/CA/Carlsbad/3328-Camino-Coronado-92009/home/4080481,CRMLS,NDP2400872,N,Y,33.0716402,-117.2344957
